City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
399,Mawlaik,MM,80.91,scattered clouds,23.6333,94.4167,AKZ Guest House
400,Bandarbeyla,SO,89.55,few clouds,9.4942,50.8122,JABIR HOTEL
405,Pitimbu,BR,84.79,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
407,Port-Gentil,GA,80.44,light rain,-0.7193,8.7815,Fengshui Residence
409,Aljezur,PT,75.74,broken clouds,37.3191,-8.8033,Amazigh Hostel
410,Harper,LR,83.05,light rain,4.375,-7.7169,Screensaver
411,Tawau,MY,77.13,overcast clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
417,Barabai,ID,75.33,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
421,Nuevo Progreso,MX,77.54,scattered clouds,23.1667,-97.95,Balneario Rio el Paraiso
424,Ayagoz,KZ,75.11,few clouds,47.9714,80.4392,ХАН
425,Akdepe,TM,84.29,broken clouds,42.0551,59.3788,
433,Rodez,FR,84.51,clear sky,44.5,2.5833,L'Auberge du Château
434,Oriximina,BR,79.63,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
442,Salalah,OM,89.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
443,Amapa,BR,80.69,overcast clouds,1.0,-52.0,
444,Saint-Denis,FR,84.24,clear sky,48.9167,2.3333,ibis budget Paris Porte de Montmartre
445,Cockburn Town,TC,79.41,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
449,Valverde Del Camino,ES,81.03,few clouds,37.5751,-6.7543,HOTEL MONTEAROMA (ulamde hotelera S.L.)
453,That Phanom,TH,75.74,overcast clouds,16.9364,104.7104,ณ ธาตุพนมเพลส Na That Panom Place Hotel
461,Kavaratti,IN,79.86,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
466,Cabanas,CU,78.33,clear sky,22.9758,-82.9219,Villa Luis Montesino y Anabel
471,Brokopondo,SR,78.89,overcast clouds,4.75,-55.1667,Matu Island
474,Alcantara,BR,88.0,broken clouds,-2.4089,-44.4147,Pousada da Josefa
477,Mporokoso,ZM,75.13,overcast clouds,-9.3727,30.125,Government Guest House
481,Ormara,PK,85.1,clear sky,25.2088,64.6357,Kenara Colony house for Rent
483,Gat,IL,84.4,clear sky,31.61,34.7642,OlusHome
487,Akyab,MM,85.6,broken clouds,20.15,92.9,Hotel Memory
491,Ndola,ZM,76.71,scattered clouds,-12.9587,28.6366,Chabanga Lodge iSpot
493,Gombong,ID,79.39,overcast clouds,-7.6072,109.5142,Grafika Hotel Dan Restoran
495,Touros,BR,85.39,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
496,Bintulu,MY,81.01,scattered clouds,3.1667,113.0333,900 Boutique INN
500,Prado,BR,83.53,clear sky,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
501,Lufilufi,WS,80.76,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
505,Balabac,PH,78.75,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
506,Promyshlennovskiy,RU,79.57,broken clouds,55.4833,86.2,Dom Kul'tury
508,Wanning,CN,75.87,overcast clouds,18.8003,110.3967,Paradise Hotel
509,Tucurui,BR,83.44,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
511,Atasu,KZ,76.44,overcast clouds,48.6814,71.6433,Dostyk
513,Ribeira Brava,PT,78.71,clear sky,32.65,-17.0667,Hotel do Campo
514,Laguna De Perlas,NI,75.29,overcast clouds,12.3429,-83.6712,Hotel Best View
517,Dhidhdhoo,MV,82.15,moderate rain,6.8833,73.1,Dhidhoo beach
518,Lata,PT,80.49,overcast clouds,40.1629,-8.3327,Casa Maquia
