City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
134,Muzhi,RU,2022-05-12 19:00:10,65.3667,64.6667,43.09,96,100,5.48
135,Swan River,CA,2022-05-12 19:00:10,52.1058,-101.2676,64.2,49,100,11.43
136,Lagoa,PT,2022-05-12 19:00:10,39.05,-27.9833,60.49,66,100,9.51
137,Tiksi,RU,2022-05-12 19:01:11,71.6872,128.8694,14.47,87,8,11.63
138,Piranhas,BR,2022-05-12 19:01:11,-16.4269,-51.8222,88.02,38,93,2.91
139,Mecca,SA,2022-05-12 19:01:12,21.4267,39.8261,89.6,26,0,5.06
140,Nikolskoye,RU,2022-05-12 19:01:12,59.7035,30.7861,48.87,85,100,11.61
141,Mao,ES,2022-05-12 19:01:13,39.8885,4.2658,66.76,77,0,9.22
142,Chuy,UY,2022-05-12 19:01:13,-33.6971,-53.4616,61.11,58,66,8.66
143,Reforma,MX,2022-05-12 19:01:14,18.1,-91.0167,96.21,33,12,3.2
144,Alofi,NU,2022-05-12 19:01:14,-19.0595,-169.9187,78.19,82,100,11.16
145,Coihaique,CL,2022-05-12 18:56:57,-45.5752,-72.0662,45.21,93,75,6.91
146,Elbistan,TR,2022-05-12 19:01:14,38.2059,37.1983,53.71,44,1,8.61
147,Qianjiang,CN,2022-05-12 19:01:15,30.4151,112.8859,65.86,79,100,13.33
148,Ancud,CL,2022-05-12 19:01:15,-41.8697,-73.8203,50.04,73,63,17.38
149,Ixtapa,MX,2022-05-12 19:00:08,20.7,-105.2,97.39,30,9,9.86
150,Iqaluit,CA,2022-05-12 18:57:39,63.7506,-68.5145,24.53,73,75,24.16
151,Montepuez,MZ,2022-05-12 19:01:16,-13.1256,38.9997,64.98,77,0,3.89
152,Cap-Aux-Meules,CA,2022-05-12 19:01:16,47.3821,-61.8597,45.01,83,0,13.96
153,Mnogovershinnyy,RU,2022-05-12 19:01:16,53.9353,139.9242,31.26,99,100,5.08
154,Koumac,NC,2022-05-12 19:01:17,-20.5667,164.2833,72.72,72,98,8.16
155,Makushino,RU,2022-05-12 19:01:17,55.2103,67.2442,53.01,40,59,4.61
156,Codrington,AU,2022-05-12 19:01:18,-38.2667,141.9667,56.23,90,97,4.18
157,Kieta,PG,2022-05-12 19:01:18,-6.2167,155.6333,77.81,85,29,2.84
158,Bojnurd,IR,2022-05-12 19:01:18,37.4747,57.329,55.02,93,99,7.94
159,Flinders,AU,2022-05-12 19:01:19,-34.5833,150.8552,66.38,91,100,5.99
160,Isangel,VU,2022-05-12 19:01:19,-19.55,169.2667,74.37,62,100,21.03
161,Maarianhamina,AX,2022-05-12 19:01:20,60.0973,19.9348,48.06,71,0,6.91
162,Norman Wells,CA,2022-05-12 19:01:21,65.282,-126.8329,51.46,47,90,4.34
163,College,US,2022-05-12 19:01:21,64.8569,-147.8028,43.07,82,100,1.01
164,Khuzhir,RU,2022-05-12 19:01:21,53.1939,107.3397,36.41,78,0,3.2
165,Bathsheba,BB,2022-05-12 19:01:22,13.2167,-59.5167,82.15,67,28,19.3
166,Tumut,AU,2022-05-12 19:01:22,-35.3,148.2167,60.78,96,100,2.24
